['2004-05-03', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-05-03', 'M', 6500.0, 5.625, 'A', 342290.0, 'D', 0]
['2004-05-03', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-05-03', 'S', 6500.0, 60.46, 'D', 335790.0, 'D', 0]
['2004-05-03', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-05-03', 'M', 10000.0, 5.625, 'A', 345790.0, 'D', 0]
['2004-05-03', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-05-03', 'S', 10000.0, 60.6, 'D', 335790.0, 'D', 0]
['2004-05-03', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-05-03', 'M', 3500.0, 5.625, 'A', 339290.0, 'D', 0]
['2004-05-03', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-05-03', 'S', 3500.0, 60.8, 'D', 335790.0, 'D', 0]
['2004-05-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-05-04', 'G', 1500.0, 0.0, 'D', 334290.0, 'D', 0]
['2004-05-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-05-04', 'G', 1500.0, 0.0, 'D', 332790.0, 'D', 0]
['2004-08-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-08-04', 'M', 10000.0, 8.1875, 'A', 342790.0, 'D', 0]
['2004-08-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-08-04', 'S', 10000.0, 62.86, 'D', 332790.0, 'D', 0]
['2004-08-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-08-04', 'M', 5000.0, 8.1875, 'A', 337790.0, 'D', 0]
['2004-08-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-08-04', 'S', 5000.0, 62.75, 'D', 332790.0, 'D', 0]
['2004-08-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-08-04', 'M', 15000.0, 8.1875, 'A', 347790.0, 'D', 0]
['2004-08-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-08-04', 'S', 15000.0, 63.55, 'D', 332790.0, 'D', 0]
['2004-08-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-08-04', 'M', 13000.0, 8.1875, 'A', 345790.0, 'D', 0]
['2004-08-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-08-04', 'S', 13000.0, 63.5, 'D', 332790.0, 'D', 0]
['2004-08-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-08-04', 'M', 2000.0, 8.1875, 'A', 334790.0, 'D', 0]
['2004-08-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-08-04', 'S', 2000.0, 63.7, 'D', 332790.0, 'D', 0]
['2004-08-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-08-04', 'M', 15000.0, 8.1875, 'A', 347790.0, 'D', 0]
['2004-08-04', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-08-04', 'S', 15000.0, 63.77, 'D', 332790.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'M', 120000.0, 4.0938, 'A', 787014.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 5000.0, 37.94, 'D', 782014.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 10000.0, 37.92, 'D', 772014.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 5000.0, 37.9, 'D', 767014.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 5000.0, 37.89, 'D', 762014.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 5000.0, 37.86, 'D', 757014.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 5000.0, 37.8, 'D', 752014.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 5000.0, 37.76, 'D', 747014.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 10000.0, 37.63, 'D', 737014.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 5000.0, 37.6, 'D', 732014.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 10000.0, 37.58, 'D', 722014.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 200.0, 37.53, 'D', 721814.0, 'D', 0]
['2004-11-05', '0000882095', '0001190578', 'MARTIN JOHN C', '1', '1', '0', '0', 'President and CEO', 'Common Stock', '2004-11-05', 'S', 1638.0, 37.52, 'D', 720176.0, 'D', 0]
