2011-03-15-0000882095-0001303643,19375.0,65216.0,2011-03-15,1,2011-03-15,0000882095,0001303643,23250.0,69091.0,2011-03-15,1,2011-03-15,0000882095,0001303643
2011-03-15-0000882095-0001303643,-8115.0,57101.0,2011-03-15,2,2011-03-15,0000882095,0001303643,-9924.0,59167.0,2011-03-15,2,2011-03-15,0000882095,0001303643
2013-02-05-0000066740-0001263739,12972.0,56077.0,2013-02-05,1,2013-02-05,0000066740,0001263739,12972.0,56077.0,2013-02-05,1,2013-02-05,0000066740,0001263739
2013-02-05-0000066740-0001263739,,,,,,,,-5330.0,50747.0,2013-02-05,2,2013-02-05,0000066740,0001263739
2010-11-23-0001467858-0001492155,800.0,800.0,2010-11-23,1,2010-11-23,0001467858,0001492155,500.0,500.0,2010-11-23,1,2010-11-23,0001467858,0001492155
2005-12-31-0001037868-0001190205,459.87,27410.41,2005-12-31,1,2005-12-31,0001037868,0001190205,459.87,27410.41,2005-12-31,1,2005-12-31,0001037868,0001190205
2006-05-09-0000005272-0001340459,-100000.0,22832968.0,2006-05-09,1,2006-05-09,0000005272,0001340459,-100000.0,22832968.0,2006-05-09,1,2006-05-09,0000005272,0001340459
2006-05-09-0000005272-0001340459,-100000.0,22732968.0,2006-05-10,2,2006-05-09,0000005272,0001340459,-100000.0,22732968.0,2006-05-09,2,2006-05-09,0000005272,0001340459
2006-05-09-0000005272-0001340459,,,,,,,,-100000.0,22632968.0,2006-05-10,3,2006-05-09,0000005272,0001340459
2003-08-28-0000882095-0001190273,-15000.0,202058.0,2003-08-28,2,2003-08-28,0000882095,0001190273,-15000.0,202058.0,2003-08-28,1,2003-08-28,0000882095,0001190273
2003-08-28-0000882095-0001190273,-20000.0,182058.0,2003-08-28,3,2003-08-28,0000882095,0001190273,-20000.0,182058.0,2003-08-28,2,2003-08-28,0000882095,0001190273
2013-03-08-0001086222-0001035440,9134.0,345585.0,2013-03-08,1,2013-03-08,0001086222,0001035440,9331.0,345782.0,2013-03-08,1,2013-03-08,0001086222,0001035440
2008-10-27-0000804212-0001193024,-4587.0,19169.0,2008-10-29,3,2008-10-27,0000804212,0001193024,-0.0,23756.0,2008-10-29,1,2008-10-27,0000804212,0001193024
2006-05-05-0000066740-0001197790,28000.0,90095.0,2006-05-05,12,2006-05-05,0000066740,0001197790,28000.0,90095.0,2006-05-05,1,2006-05-05,0000066740,0001197790
2006-05-05-0000066740-0001197790,-19924.0,70171.0,2006-05-05,13,2006-05-05,0000066740,0001197790,-19924.0,70171.0,2006-05-05,2,2006-05-05,0000066740,0001197790
2006-05-05-0000066740-0001197790,-3008.0,67163.0,2006-05-05,14,2006-05-05,0000066740,0001197790,-3413.0,66758.0,2006-05-05,3,2006-05-05,0000066740,0001197790
2006-05-05-0000066740-0001197790,9962.0,77125.0,2006-05-05,15,2006-05-05,0000066740,0001197790,9962.0,76720.0,2006-05-05,4,2006-05-05,0000066740,0001197790
2006-05-05-0000066740-0001197790,-7203.0,69922.0,2006-05-05,16,2006-05-05,0000066740,0001197790,-7203.0,69517.0,2006-05-05,5,2006-05-05,0000066740,0001197790
2006-05-05-0000066740-0001197790,-902.0,69020.0,2006-05-05,17,2006-05-05,0000066740,0001197790,-1177.0,68340.0,2006-05-05,6,2006-05-05,0000066740,0001197790
2006-05-05-0000066740-0001197790,15000.0,84020.0,2006-05-05,18,2006-05-05,0000066740,0001197790,15000.0,83340.0,2006-05-05,7,2006-05-05,0000066740,0001197790
2006-05-05-0000066740-0001197790,-10846.0,73174.0,2006-05-05,19,2006-05-05,0000066740,0001197790,-10846.0,72494.0,2006-05-05,8,2006-05-05,0000066740,0001197790
2006-05-05-0000066740-0001197790,-1358.0,71816.0,2006-05-05,20,2006-05-05,0000066740,0001197790,-1773.0,70721.0,2006-05-05,9,2006-05-05,0000066740,0001197790
2006-05-05-0000066740-0001197790,3622.0,75438.0,2006-05-05,21,2006-05-05,0000066740,0001197790,3622.0,74343.0,2006-05-05,10,2006-05-05,0000066740,0001197790
2006-05-05-0000066740-0001197790,-2687.0,72751.0,2006-05-05,22,2006-05-05,0000066740,0001197790,-2687.0,71656.0,2006-05-05,11,2006-05-05,0000066740,0001197790
2006-05-05-0000066740-0001197790,-305.0,72446.0,2006-05-05,23,2006-05-05,0000066740,0001197790,-398.0,71258.0,2006-05-05,12,2006-05-05,0000066740,0001197790
