2006-05-05,0000066740,0001197790,YEOMANS JAN L,0,1,0,0,VICE PRESIDENT AND TREASURER,Common Stock,plh,2006-05-05,M,9962.0,62.85,A,plh,plh,plh,76720.0,D,0,4,/AutomatedFTP/storage/66740/4A/66740-0000066740-06-000117.xml,plh,plh,plh,4/A
2006-05-05,0000066740,0001197790,YEOMANS JAN L,0,1,0,0,VICE PRESIDENT AND TREASURER,Common Stock,plh,2006-05-05,F,7203.0,86.92,D,plh,plh,plh,69517.0,D,0,5,/AutomatedFTP/storage/66740/4A/66740-0000066740-06-000117.xml,plh,plh,plh,4/A
2006-05-05,0000066740,0001197790,YEOMANS JAN L,0,1,0,0,VICE PRESIDENT AND TREASURER,Common Stock,plh,2006-05-05,F,1177.0,86.92,D,plh,plh,plh,68340.0,D,0,6,/AutomatedFTP/storage/66740/4A/66740-0000066740-06-000117.xml,plh,plh,plh,4/A
2006-05-05,0000066740,0001197790,YEOMANS JAN L,0,1,0,0,VICE PRESIDENT AND TREASURER,Common Stock,plh,2006-05-05,M,15000.0,62.85,A,plh,plh,plh,83340.0,D,0,7,/AutomatedFTP/storage/66740/4A/66740-0000066740-06-000117.xml,plh,plh,plh,4/A
2006-05-05,0000066740,0001197790,YEOMANS JAN L,0,1,0,0,VICE PRESIDENT AND TREASURER,Common Stock,plh,2006-05-05,F,10846.0,86.92,D,plh,plh,plh,72494.0,D,0,8,/AutomatedFTP/storage/66740/4A/66740-0000066740-06-000117.xml,plh,plh,plh,4/A
2006-05-05,0000066740,0001197790,YEOMANS JAN L,0,1,0,0,VICE PRESIDENT AND TREASURER,Common Stock,plh,2006-05-05,F,1773.0,86.92,D,plh,plh,plh,70721.0,D,0,9,/AutomatedFTP/storage/66740/4A/66740-0000066740-06-000117.xml,plh,plh,plh,4/A
2006-05-05,0000066740,0001197790,YEOMANS JAN L,0,1,0,0,VICE PRESIDENT AND TREASURER,Common Stock,plh,2006-05-05,M,3622.0,64.5,A,plh,plh,plh,74343.0,D,0,10,/AutomatedFTP/storage/66740/4A/66740-0000066740-06-000117.xml,plh,plh,plh,4/A
2006-05-05,0000066740,0001197790,YEOMANS JAN L,0,1,0,0,VICE PRESIDENT AND TREASURER,Common Stock,plh,2006-05-05,F,2687.0,86.92,D,plh,plh,plh,71656.0,D,0,11,/AutomatedFTP/storage/66740/4A/66740-0000066740-06-000117.xml,plh,plh,plh,4/A
2006-05-05,0000066740,0001197790,YEOMANS JAN L,0,1,0,0,VICE PRESIDENT AND TREASURER,Common Stock,plh,2006-05-05,F,398.0,86.92,D,plh,plh,plh,71258.0,D,0,12,/AutomatedFTP/storage/66740/4A/66740-0000066740-06-000117.xml,plh,plh,plh,4/A
2006-05-08,0000066740,0001197740,NOZARI M S,0,1,0,0,EXEC VP CONSUMER & OFFICE,Common Stock,plh,2006-05-08,M,36578.0,61.85,A,plh,plh,plh,136026.0,D,0,1,/AutomatedFTP/storage/66740/4A/66740-0000066740-06-000118.xml,plh,plh,plh,4/A
